taxid,parent,taxonomic_rank,scientific_name
taxon:57835 [Omobranchus fasciolatoceps]@species,taxon:57834 [Omobranchus]@genus,species,Omobranchus fasciolatoceps
taxon:48435 [Steatornis caripensis]@species,taxon:48434 [Steatornis]@genus,species,Steatornis caripensis
taxon:57399 [Aulacorhynchus prasinus]@species,taxon:57398 [Aulacorhynchus]@genus,species,Aulacorhynchus prasinus
taxon:205123 [Channa marulius]@species,taxon:33789 [Channa]@genus,species,Channa marulius
taxon:182891 [Ixos mcclellandii]@species,taxon:374646 [Ixos]@genus,species,Ixos mcclellandii
taxon:8953 [Falco columbarius]@species,taxon:8952 [Falco]@genus,species,Falco columbarius
taxon:57847 [Petroscirtes breviceps]@species,taxon:57846 [Petroscirtes]@genus,species,Petroscirtes breviceps
taxon:33616 [Gymnogyps californianus]@species,taxon:33615 [Gymnogyps]@genus,species,Gymnogyps californianus
taxon:54316 [Percina]@genus,taxon:698016 [Etheostomatinae]@subfamily,genus,Percina
taxon:93067 [Tiaris]@genus,taxon:400783 [Thraupidae]@family,genus,Tiaris
taxon:586240 [Poeciliinae]@subfamily,taxon:8079 [Poeciliidae]@family,subfamily,Poeciliinae
taxon:257887 [Pentaceros wheeleri]@species,taxon:257888 [Pentaceros]@genus,species,Pentaceros wheeleri
taxon:187432 [Hypargos]@genus,taxon:37611 [Estrildidae]@family,genus,Hypargos
taxon:181404 [Cataetyx rubrirostris]@species,taxon:181403 [Cataetyx]@genus,species,Cataetyx rubrirostris
taxon:270526 [Solenostomus]@genus,taxon:270524 [Solenostomidae]@family,genus,Solenostomus
taxon:46495 [Collocalia linchi]@species,taxon:46489 [Collocalia]@genus,species,Collocalia linchi
taxon:909697 [Villora]@subgenus,taxon:54318 [Etheostoma]@genus,subgenus,Villora
taxon:475981 [Tridentiger radiatus]@species,taxon:55552 [Tridentiger]@genus,species,Tridentiger radiatus
taxon:321133 [Harpyhaliaetus]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Harpyhaliaetus
taxon:305631 [Remora remora]@species,taxon:305630 [Remora]@genus,species,Remora remora
taxon:266323 [Myzomela obscura]@species,taxon:108837 [Myzomela]@genus,species,Myzomela obscura
taxon:190674 [Aeronautes saxatalis]@species,taxon:190673 [Aeronautes]@genus,species,Aeronautes saxatalis
taxon:36302 [Picoides]@genus,taxon:9220 [Picidae]@family,genus,Picoides
taxon:148607 [Arctoscopus japonicus]@species,taxon:148606 [Arctoscopus]@genus,species,Arctoscopus japonicus
taxon:192213 [Philesturnus carunculatus]@species,taxon:2133942 [Philesturnus]@genus,species,Philesturnus carunculatus
